                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.76261,                0.52274,                0.93062,                0.58847,                0.65143,                0.57916,                0.43559,                 0.9011,                 1.4091,                 1.0843,             0.00047089,             0.00047089,             0.00047089
                     80,                0.74475,                0.51935,                0.93545,                0.65083,                0.62286,                0.61155,                0.45679,                0.96898,                 1.3063,                  1.107,             0.00045129,             0.00045129,             0.00045129
                     81,                0.73813,                0.50945,                 0.9302,                0.66986,                0.62857,                0.60919,                0.46598,                0.91324,                 1.2054,                 1.0858,             0.00043168,             0.00043168,             0.00043168
                     82,                0.74071,                0.49587,                0.93067,                 0.6541,                0.61594,                0.60993,                0.45578,                0.91934,                 1.1838,                 1.0689,             0.00041208,             0.00041208,             0.00041208
                     83,                0.74671,                0.51081,                0.93251,                0.61636,                0.65714,                0.60793,                0.45288,                0.97386,                 1.2665,                 1.0939,             0.00039248,             0.00039248,             0.00039248
                     84,                 0.7278,                 0.4776,                0.92206,                0.60629,                0.61598,                 0.5885,                0.44259,                 0.9578,                 1.3364,                 1.1034,             0.00037287,             0.00037287,             0.00037287
                     85,                0.71989,                0.47757,                0.92412,                0.64763,                0.61143,                0.61352,                0.45297,                 1.0446,                 1.3607,                 1.1703,             0.00035327,             0.00035327,             0.00035327
                     86,                0.71684,                 0.4801,                0.91866,                0.60685,                0.65143,                0.60241,                0.45232,                0.98577,                 1.3612,                 1.1064,             0.00033366,             0.00033366,             0.00033366
                     87,                0.73001,                0.48933,                0.92075,                0.62366,                0.65714,                0.60665,                0.45054,                0.97312,                 1.3478,                 1.1026,             0.00031406,             0.00031406,             0.00031406
                     88,                0.70477,                0.47128,                0.91994,                0.60422,                0.65143,                 0.6021,                0.45513,                0.90128,                 1.3271,                 1.0839,             0.00029446,             0.00029446,             0.00029446
                     89,                0.70393,                0.46458,                0.91292,                0.61683,                0.63429,                0.59843,                0.45576,                0.93596,                 1.3685,                 1.0849,             0.00027485,             0.00027485,             0.00027485
                     90,                0.71434,                0.47251,                0.91698,                0.63738,                0.61714,                0.60138,                 0.4586,                0.92941,                 1.2024,                 1.0643,             0.00025525,             0.00025525,             0.00025525
                     91,                0.70447,                0.45498,                 0.9164,                0.64951,                0.62857,                0.61707,                0.46402,                0.93815,                  1.288,                 1.0826,             0.00023564,             0.00023564,             0.00023564
                     92,                0.73753,                0.44046,                0.89798,                0.63396,                   0.64,                0.60584,                0.45476,                0.89439,                 1.1589,                 1.0553,             0.00021604,             0.00021604,             0.00021604
                     93,                0.72123,                0.41519,                0.89975,                0.60571,                0.62857,                0.59774,                0.45401,                0.89523,                 1.2133,                 1.0812,             0.00019644,             0.00019644,             0.00019644
                     94,                0.72207,                0.41212,                0.89931,                0.58683,                   0.64,                0.58504,                0.44451,                0.89782,                 1.2292,                 1.0728,             0.00017683,             0.00017683,             0.00017683
                     95,                0.69789,                0.39165,                0.88476,                0.58302,                0.65143,                0.58146,                0.43366,                0.93361,                 1.2704,                 1.0882,             0.00015723,             0.00015723,             0.00015723
                     96,                0.70592,                 0.3994,                0.89229,                0.62662,                0.66286,                0.59655,                0.44499,                0.92168,                 1.1831,                 1.0871,             0.00013762,             0.00013762,             0.00013762
                     97,                0.68605,                0.39242,                0.88397,                0.65425,                0.68571,                0.62067,                 0.4653,                0.90089,                 1.0954,                 1.0655,             0.00011802,             0.00011802,             0.00011802
                     98,                0.69009,                0.39509,                0.88903,                0.64979,                   0.68,                0.62148,                0.46663,                0.90666,                 1.0797,                 1.0771,             9.8416e-05,             9.8416e-05,             9.8416e-05
                     99,                0.69612,                0.38736,                 0.8809,                0.66089,                0.67429,                0.61504,                0.45803,                0.91025,                 1.1161,                 1.0795,             7.8812e-05,             7.8812e-05,             7.8812e-05
                    100,                0.67807,                0.37678,                0.88141,                0.63773,                0.66857,                0.61665,                0.46332,                 0.9062,                 1.1209,                 1.0785,             5.9208e-05,             5.9208e-05,             5.9208e-05
                    101,                0.68187,                0.38398,                0.88309,                0.63534,                0.67429,                0.61477,                0.46004,                0.91419,                 1.1245,                 1.0877,             3.9604e-05,             3.9604e-05,             3.9604e-05
